id,city,state,country
1,Parkville,Pennsylvania,United States
2,Parkville,Missouri,United States
3,Macdonald,Manitoba,Canada
4,Schwarzenbach an der Saale,Bavaria,Germany
5,Hillsborough,North Carolina,United States
6,Granville,New South Wales,Australia
7,Utuado,Puerto Rico,Puerto Rico
8,Green Brook,New Jersey,United States
9,Gonzales,Texas,United States
10,Outokumpu,Pohjois-Karjala,Finland
11,Teshikaga,Hokkaidō,Japan
12,Calverton,New York,United States
13,Wynne,Arkansas,United States
14,Ogunimachi,Yamagata,Japan
15,Tyrone,Pennsylvania,United States
16,Lawrenceville,Illinois,United States
17,Fundulea,Călăraşi,Romania
18,Murston,Kent,United Kingdom
19,Yardville,New Jersey,United States
20,Hoegaarden,Flanders,Belgium
21,Baie-Saint-Paul,Quebec,Canada
22,Cottage Grove,Wisconsin,United States
23,De Soto,Missouri,United States
24,Palmyra,New Jersey,United States
25,Gilford,New Hampshire,United States
26,Nappanee,Indiana,United States
27,Portage Lakes,Ohio,United States
28,Merritt,British Columbia,Canada
29,Fair Plain,Michigan,United States
30,Atherton,California,United States
31,Bluewater,Ontario,Canada
32,Nibley,Utah,United States
33,Dalcahue,Los Lagos,Chile
34,Walled Lake,Michigan,United States
35,Nový Bydžov,Královéhradecký Kraj,Czechia
36,Galliano,Louisiana,United States
37,East Zorra-Tavistock,Ontario,Canada
38,Pinhoe,Devon,United Kingdom
39,Freeland,Michigan,United States
40,Bednodem’yanovsk,Penzenskaya Oblast’,Russia
41,Létavértes,Hajdú-Bihar,Hungary
42,Live Oak,Florida,United States
43,Bonne Terre,Missouri,United States
44,Săveni,Botoşani,Romania
45,Brook Highland,Alabama,United States
46,Fort Riley,Kansas,United States
47,Givet,Grand Est,France
48,Myadzyel,Minskaya Voblasts’,Belarus
49,Calipatria,California,United States
50,Novosokolniki,Pskovskaya Oblast’,Russia
51,Colonia Venustiano Carranza,Baja California,Mexico
52,Dubrowna,Vitsyebskaya Voblasts’,Belarus
53,Ebermannstadt,Bavaria,Germany
54,New Romney,Kent,United Kingdom
55,Southam,Warwickshire,United Kingdom
56,Pinson,Alabama,United States
57,Stoneham-et-Tewkesbury,Quebec,Canada
58,Rishton,Lancashire,United Kingdom
59,Gryfów Śląski,Dolnośląskie,Poland
60,Selma,North Carolina,United States
61,Kupiansk,Kharkivs’ka Oblast’,Ukraine
62,Marble Falls,Texas,United States
63,Northgate,Ohio,United States
64,Okhansk,Permskiy Kray,Russia
65,Bedminster,Pennsylvania,United States
66,Stow,Massachusetts,United States
67,Bridge of Allan,Stirling,United Kingdom
68,Aya,Miyazaki,Japan
69,Asbestos,Quebec,Canada
70,Juana Díaz,Puerto Rico,Puerto Rico
71,Lake Lorraine,Florida,United States
72,Lavrinhas,São Paulo,Brazil
73,Fort Myers Beach,Florida,United States
74,Oberndorf bei Salzburg,Salzburg,Austria
75,Dunbar,West Virginia,United States
76,Neukirchen,Hesse,Germany
77,Stadtroda,Thuringia,Germany
78,Ladera Heights,California,United States
79,Buziaş,Timiş,Romania
80,Genadendal,Western Cape,South Africa
81,Osceola,Arkansas,United States
82,Syracuse,Indiana,United States
83,Neustadt-Glewe,Mecklenburg-Western Pomerania,Germany
84,Andreapol,Tverskaya Oblast’,Russia
85,Marshfield,Newport,United Kingdom
86,Clarkson,New York,United States
87,Flatwoods,Kentucky,United States
88,Sharhorod,Vinnyts’ka Oblast’,Ukraine
89,Segarcea,Dolj,Romania
90,Quiévrain,Wallonia,Belgium
91,Roosevelt,Utah,United States
92,Milton-Freewater,Oregon,United States
93,Buttstädt,Thuringia,Germany
94,Dietenheim,Baden-Württemberg,Germany
95,Ben Lomond,California,United States
96,Marne,Schleswig-Holstein,Germany
97,Fort Pierce North,Florida,United States
98,Wellsville,New York,United States
99,Nebraska City,Nebraska,United States
100,Huron-Kinloss,Ontario,Canada
